Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"AvgCI = getText(findTestObject(""EBP_Object/Page_Streetlogix/Average_condition_index""))",Chrome 110.0.0.0,,,2023-03-13 21:26:56,2023-03-13 21:26:56,0.372s,PASSED
AvgCIdouble = AvgCI.toDouble(),Chrome 110.0.0.0,,,2023-03-13 21:26:56,2023-03-13 21:26:56,0.000s,PASSED
AvgCIround = Math.round(AvgCIdouble),Chrome 110.0.0.0,,,2023-03-13 21:26:56,2023-03-13 21:26:56,0.000s,PASSED
TargetCI = AvgCIround + 1,Chrome 110.0.0.0,,,2023-03-13 21:26:56,2023-03-13 21:26:56,0.000s,PASSED
"Totalyear1 = Totalyears + "" Year""",Chrome 110.0.0.0,,,2023-03-13 21:26:56,2023-03-13 21:26:56,0.000s,PASSED
"InflationSummary = Inflation + ""%""",Chrome 110.0.0.0,,,2023-03-13 21:26:56,2023-03-13 21:26:56,0.001s,PASSED
"TargetCIfloat = TargetCI + "".00""",Chrome 110.0.0.0,,,2023-03-13 21:26:56,2023-03-13 21:26:56,0.000s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Target Condition Index_target_rating""), $TargetCI)",Chrome 110.0.0.0,,,2023-03-13 21:26:56,2023-03-13 21:26:57,0.953s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Annual Inflation_annualInflation""), Keys.chord(COMMAND, ""a""))",Chrome 110.0.0.0,,,2023-03-13 21:26:57,2023-03-13 21:26:58,0.596s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Annual Inflation_annualInflation""), Keys.chord(DELETE))",Chrome 110.0.0.0,,,2023-03-13 21:26:58,2023-03-13 21:26:58,0.475s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Annual Inflation_annualInflation""), Inflation)",Chrome 110.0.0.0,,,2023-03-13 21:26:58,2023-03-13 21:26:59,0.927s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Calculate""))",Chrome 110.0.0.0,,,2023-03-13 21:26:59,2023-03-13 21:27:00,0.502s,PASSED
delay(20),Chrome 110.0.0.0,,,2023-03-13 21:27:00,2023-03-13 21:27:20,20.011s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Load""))",Chrome 110.0.0.0,,,2023-03-13 21:27:20,2023-03-13 21:27:20,0.461s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-03-13 21:27:20,2023-03-13 21:27:25,5.006s,PASSED
"Sname = TestObject().addProperty(""text"", EQUALS, Scenarioname)",Chrome 110.0.0.0,,,2023-03-13 21:27:25,2023-03-13 21:27:25,0.000s,PASSED
click(Sname),Chrome 110.0.0.0,,,2023-03-13 21:27:25,2023-03-13 21:27:26,0.413s,PASSED
"summary = Totalyears + "" Year, Target rating "" + TargetCI",Chrome 110.0.0.0,,,2023-03-13 21:27:26,2023-03-13 21:27:26,0.000s,PASSED
"ActualSummary = getText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/Estimator_summary""))",Chrome 110.0.0.0,,,2023-03-13 21:27:26,2023-03-13 21:27:31,5.162s,PASSED
"Expectedsummary = TestObject().addProperty(""text"", EQUALS, summary)",Chrome 110.0.0.0,,,2023-03-13 21:27:31,2023-03-13 21:27:31,0.001s,PASSED
"verifyElementPresent(Expectedsummary, 5)",Chrome 110.0.0.0,,,2023-03-13 21:27:31,2023-03-13 21:27:38,6.929s,FAILED
"AssetSummary = getText(findTestObject(""EBP_Object/Page_Streetlogix/Asset_name""))",Chrome 110.0.0.0,,,2023-03-13 21:27:38,2023-03-13 21:27:38,0.473s,PASSED
"Totalyear2 = getText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/Program_duration_1year""))",Chrome 110.0.0.0,,,2023-03-13 21:27:38,2023-03-13 21:27:38,0.370s,PASSED
"verifyMatch(Totalyear2, Totalyear1, false)",Chrome 110.0.0.0,,,2023-03-13 21:27:38,2023-03-13 21:27:38,0.002s,FAILED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/Total cost estimated""))",Chrome 110.0.0.0,,,2023-03-13 21:27:38,2023-03-13 21:27:39,0.494s,PASSED
"Inflation2 = getText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/Inflation_5""))",Chrome 110.0.0.0,,,2023-03-13 21:27:39,2023-03-13 21:27:40,0.675s,PASSED
InflationSummary,Chrome 110.0.0.0,,,2023-03-13 21:27:40,2023-03-13 21:27:40,0.000s,PASSED
"verifyMatch(InflationSummary, Inflation2, false)",Chrome 110.0.0.0,,,2023-03-13 21:27:40,2023-03-13 21:27:40,0.001s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/h6_pci  0""))",Chrome 110.0.0.0,,,2023-03-13 21:27:40,2023-03-13 21:27:40,0.489s,PASSED
"DTused = getText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/h6_DT with PCI ranges""))",Chrome 110.0.0.0,,,2023-03-13 21:27:40,2023-03-13 21:27:41,0.683s,PASSED
InuseDT = database_keywords.test.Database_Keywords.getinuseDT(),Chrome 110.0.0.0,,,2023-03-13 21:27:41,2023-03-13 21:27:45,3.786s,PASSED
println(InuseDT),Chrome 110.0.0.0,,,2023-03-13 21:27:45,2023-03-13 21:27:45,0.001s,PASSED
"verifyMatch(InuseDT, DTused, false)",Chrome 110.0.0.0,,,2023-03-13 21:27:45,2023-03-13 21:27:45,0.001s,PASSED
"click(findTestObject(""EBP_Object/Page_Streetlogix/View_Graph_dropdown""))",Chrome 110.0.0.0,,,2023-03-13 21:27:45,2023-03-13 21:27:45,0.513s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/li_Table""))",Chrome 110.0.0.0,,,2023-03-13 21:27:45,2023-03-13 21:27:46,0.826s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-03-13 21:27:46,2023-03-13 21:27:51,5.007s,PASSED
"finalrating = TestObject().addProperty(""text"", EQUALS, TargetCIfloat)",Chrome 110.0.0.0,,,2023-03-13 21:27:51,2023-03-13 21:27:51,0.001s,PASSED
"verifyElementPresent(finalrating, 5)",Chrome 110.0.0.0,,,2023-03-13 21:27:51,2023-03-13 21:27:51,0.437s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Report""))",Chrome 110.0.0.0,,,2023-03-13 21:27:51,2023-03-13 21:27:52,0.526s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-03-13 21:27:52,2023-03-13 21:27:57,5.009s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Export""))",Chrome 110.0.0.0,,,2023-03-13 21:27:57,2023-03-13 21:27:57,0.516s,PASSED
delay(120),Chrome 110.0.0.0,,,2023-03-13 21:27:57,2023-03-13 21:29:57,2m - 0.028s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Close""))",Chrome 110.0.0.0,,,2023-03-13 21:29:57,2023-03-13 21:29:58,0.362s,PASSED
"isFileDownloaded(""Streetlogix-EST-3.pdf"")",Chrome 110.0.0.0,,,2023-03-13 21:29:58,2023-03-13 21:29:58,0.001s,PASSED
"downloadPath = ""/Users/kashif/Downloads""",Chrome 110.0.0.0,,,2023-03-13 21:29:58,2023-03-13 21:29:58,0.000s,PASSED
dir = new java.io.File(downloadPath),Chrome 110.0.0.0,,,2023-03-13 21:29:58,2023-03-13 21:29:58,0.000s,PASSED
files = dir.listFiles(),Chrome 110.0.0.0,,,2023-03-13 21:29:58,2023-03-13 21:29:58,0.069s,PASSED
for (File file : files),Chrome 110.0.0.0,,,2023-03-13 21:29:58,2023-03-13 21:29:58,0.012s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-03-13 21:29:58,2023-03-13 21:29:58,0.178s,PASSED
,,,,,,,
Test Cases/GiS/Budget Estimator/Budget_Estimator_3year - Sidewalk,Chrome 110.0.0.0,,,2023-03-13 21:29:58,2023-03-13 21:34:13,4m - 15.114s,PASSED
gis_url.test.URL.redirectURL(),Chrome 110.0.0.0,,,2023-03-13 21:29:58,2023-03-13 21:30:01,3.245s,PASSED
delay(15),Chrome 110.0.0.0,,,2023-03-13 21:30:01,2023-03-13 21:30:17,15.012s,PASSED
"click(findTestObject(""EBP_Object/Page_Streetlogix/Menubar-icon""))",Chrome 110.0.0.0,,,2023-03-13 21:30:17,2023-03-13 21:30:47,30.099s,PASSED
delay(15),Chrome 110.0.0.0,,,2023-03-13 21:30:47,2023-03-13 21:31:02,15.013s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/div_Budget Estimator""))",Chrome 110.0.0.0,,,2023-03-13 21:31:02,2023-03-13 21:31:04,2.779s,PASSED
"click(findTestObject(""Compare Scenarios/div_Pavement Maintenance""))",Chrome 110.0.0.0,,,2023-03-13 21:31:04,2023-03-13 21:31:05,1.017s,PASSED
"click(findTestObject(""Compare Scenarios/li_Sidewalk Maintenance""))",Chrome 110.0.0.0,,,2023-03-13 21:31:05,2023-03-13 21:31:08,2.191s,PASSED
"Scenarioname = ""EST SW 3""",Chrome 110.0.0.0,,,2023-03-13 21:31:08,2023-03-13 21:31:08,0.001s,PASSED
"Totalyears = ""3""",Chrome 110.0.0.0,,,2023-03-13 21:31:08,2023-03-13 21:31:08,0.000s,PASSED
"Inflation = ""5""",Chrome 110.0.0.0,,,2023-03-13 21:31:08,2023-03-13 21:31:08,0.000s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Scenario Name_scenarioName""), Keys.chord(COMMAND, ""a""))",Chrome 110.0.0.0,,,2023-03-13 21:31:08,2023-03-13 21:31:11,3.673s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Scenario Name_scenarioName""), Keys.chord(DELETE))",Chrome 110.0.0.0,,,2023-03-13 21:31:11,2023-03-13 21:31:12,0.381s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Scenario Name_scenarioName""), Scenarioname)",Chrome 110.0.0.0,,,2023-03-13 21:31:12,2023-03-13 21:31:12,0.782s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Program duration_programDuration""), Keys.chord(COMMAND, ""a""))",Chrome 110.0.0.0,,,2023-03-13 21:31:12,2023-03-13 21:31:13,0.516s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Program duration_programDuration""), Keys.chord(DELETE))",Chrome 110.0.0.0,,,2023-03-13 21:31:13,2023-03-13 21:31:13,0.386s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Program duration_programDuration""), Totalyears)",Chrome 110.0.0.0,,,2023-03-13 21:31:13,2023-03-13 21:31:14,0.749s,PASSED
"AvgCI = getText(findTestObject(""EBP_Object/Page_Streetlogix/Average_condition_index""))",Chrome 110.0.0.0,,,2023-03-13 21:31:14,2023-03-13 21:31:15,0.484s,PASSED
AvgCIdouble = AvgCI.toDouble(),Chrome 110.0.0.0,,,2023-03-13 21:31:15,2023-03-13 21:31:15,0.000s,PASSED
AvgCIround = Math.round(AvgCIdouble),Chrome 110.0.0.0,,,2023-03-13 21:31:15,2023-03-13 21:31:15,0.000s,PASSED
TargetCI = AvgCIround + 1,Chrome 110.0.0.0,,,2023-03-13 21:31:15,2023-03-13 21:31:15,0.000s,PASSED
"TargetCIfloat = TargetCI + "".00""",Chrome 110.0.0.0,,,2023-03-13 21:31:15,2023-03-13 21:31:15,0.000s,PASSED
"Totalyear1 = Totalyears + "" Years""",Chrome 110.0.0.0,,,2023-03-13 21:31:15,2023-03-13 21:31:15,0.000s,PASSED
"InflationSummary = Inflation + ""%""",Chrome 110.0.0.0,,,2023-03-13 21:31:15,2023-03-13 21:31:15,0.000s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Target Condition Index_target_rating""), $TargetCI)",Chrome 110.0.0.0,,,2023-03-13 21:31:15,2023-03-13 21:31:15,0.880s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Annual Inflation_annualInflation""), Keys.chord(COMMAND, ""a""))",Chrome 110.0.0.0,,,2023-03-13 21:31:15,2023-03-13 21:31:16,0.602s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Annual Inflation_annualInflation""), Keys.chord(DELETE))",Chrome 110.0.0.0,,,2023-03-13 21:31:16,2023-03-13 21:31:16,0.378s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Annual Inflation_annualInflation""), Inflation)",Chrome 110.0.0.0,,,2023-03-13 21:31:16,2023-03-13 21:31:17,0.832s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Calculate""))",Chrome 110.0.0.0,,,2023-03-13 21:31:17,2023-03-13 21:31:18,0.507s,PASSED
delay(120),Chrome 110.0.0.0,,,2023-03-13 21:31:18,2023-03-13 21:33:18,2m - 0.015s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Load""))",Chrome 110.0.0.0,,,2023-03-13 21:33:18,2023-03-13 21:33:18,0.570s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-03-13 21:33:18,2023-03-13 21:33:23,5.010s,PASSED
"Sname = TestObject().addProperty(""text"", EQUALS, Scenarioname)",Chrome 110.0.0.0,,,2023-03-13 21:33:23,2023-03-13 21:33:23,0.000s,PASSED
click(Sname),Chrome 110.0.0.0,,,2023-03-13 21:33:23,2023-03-13 21:33:24,0.522s,PASSED
"summary = Totalyears + "" Years, Target rating "" + TargetCI",Chrome 110.0.0.0,,,2023-03-13 21:33:24,2023-03-13 21:33:24,0.001s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-03-13 21:33:24,2023-03-13 21:33:29,5.009s,PASSED
